req_consecutive,alpha,reach_resnet,reach_vit,reach_gap_abs,paired_reach,mean_td_resnet_paired,mean_td_vit_paired,td_gap_paired (R-V),cohens_d_paired,n_paired,n_total
5,0.74,0.698,0.264,0.43399999999999994,0.186,0.01228878648233487,0.16129032258064516,-0.1490015360983103,0.9582406371168465,93,500
5,0.75,0.696,0.262,0.43399999999999994,0.182,0.014128728414442699,0.16483516483516483,-0.15070643642072212,0.9626110770012417,91,500
5,0.76,0.694,0.258,0.43599999999999994,0.18,0.014285714285714284,0.16767676767676767,-0.15339105339105338,0.9725042961929695,90,500
5,0.77,0.694,0.252,0.44199999999999995,0.176,0.014610389610389608,0.16942148760330578,-0.15481109799291617,0.9736098969374196,88,500
5,0.78,0.69,0.248,0.44199999999999995,0.176,0.014610389610389608,0.16942148760330578,-0.15481109799291617,0.9736098969374196,88,500
5,0.79,0.682,0.246,0.43600000000000005,0.174,0.014778325123152709,0.1724137931034483,-0.15763546798029557,0.9859555382208499,87,500
5,0.8,0.676,0.238,0.43800000000000006,0.164,0.0156794425087108,0.17294900221729492,-0.1572695597085841,0.9702625189963677,82,500
5,0.81,0.67,0.238,0.43200000000000005,0.164,0.0156794425087108,0.17294900221729492,-0.1572695597085841,0.9702625189963677,82,500
5,0.82,0.666,0.234,0.43200000000000005,0.162,0.014109347442680775,0.1750841750841751,-0.16097482764149432,0.9924266646824399,81,500
5,0.83,0.662,0.232,0.43000000000000005,0.16,0.014285714285714285,0.17727272727272728,-0.16298701298701299,1.0022578392392514,80,500
5,0.84,0.658,0.23,0.42800000000000005,0.158,0.014466546112115732,0.1749136939010357,-0.16044714778891997,0.9845518995103005,79,500
5,0.85,0.652,0.228,0.42400000000000004,0.156,0.01282051282051282,0.17132867132867136,-0.15850815850815853,0.977780565251814,78,500
5,0.86,0.652,0.226,0.42600000000000005,0.154,0.012987012987012988,0.17355371900826447,-0.16056670602125148,0.9876817505369385,77,500
5,0.87,0.646,0.226,0.42000000000000004,0.154,0.012987012987012988,0.17355371900826447,-0.16056670602125148,0.9876817505369385,77,500
5,0.88,0.642,0.224,0.41800000000000004,0.152,0.013157894736842105,0.16985645933014357,-0.15669856459330145,0.967225119164676,76,500
5,0.89,0.642,0.222,0.42000000000000004,0.15,0.013333333333333334,0.16606060606060608,-0.15272727272727274,0.9463504664196052,75,500
